DATE,SPXT,BOND,FTSE
1/15/02,1617.1813,1023.3,37.05
1/17/02,1607.0198,1018.3,36.54
1/18/02,1591.0778,1020.38,36.14
1/21/02,1591.0778,1020.38,36.07
1/22/02,1579.4083,1020.41,36.08
1/23/02,1591.9413,1016.65,36.11
1/24/02,1597.5488,1015.61,36.09
1/25/02,1599.1434,1014.99,36.04
1/28/02,1598.8612,1015.68,35.81
1/29/02,1553.2333,1019.68,35.56
1/30/02,1571.6919,1019.79,35.5
1/31/02,1595.3525,1017.44,35.55
2/1/02,1584.0614,1019.44,35.69
2/4/02,1544.8918,1022.7,35.59
2/5/02,1538.7007,1021.57,35.85
2/6/02,1529.6747,1020.56,35.69
2/7/02,1525.2629,1019.87,35.61
2/8/02,1547.9406,1022.83,35.69
2/11/02,1570.2118,1022.51,35.39
2/12/02,1563.9489,1020.41,35.6
2/13/02,1580.0289,1019.8,35.82
2/14/02,1577.2885,1021.44,35.74
2/15/02,1559.9755,1025.13,35.56
2/18/02,1559.9755,1025.13,35.41
2/19/02,1530.5781,1024.6801,35.16
2/20/02,1551.3666,1024.73,35.27
2/21/02,1527.3397,1025.45,35.21
2/22/02,1539.908,1027.1,34.99
2/25/02,1567.5936,1026.62,35.1
2/26/02,1567.6544,1024.42,35.22
2/27/02,1569.0054,1028.61,35.49
2/28/02,1564.5862,1027.3,35.43
3/1/02,1600.0234,1022.98,35.59
3/4/02,1631.2484,1022.45,35.71
3/5/02,1620.3667,1022.86,35.51
3/6/02,1644.1998,1021.94,35.48
3/7/02,1636.8624,1015.42,35.46
3/8/02,1646.4373,1011.46,35.4
3/11/02,1652.0413,1011.52,35.17
3/12/02,1648.2839,1012.22,35.06
3/13/02,1632.4556,1013.99,35.09
3/14/02,1631.0001,1008.1,35.14
3/15/02,1649.5614,1009.41,35.15
3/18/02,1648.7283,1011.52,35.09
3/19/02,1655.4431,1011.15,35.2
3/20/02,1629.428,1008.42,35.34
3/21/02,1631.9304,1009.05,35.24
3/22/02,1625.0184,1008.46,35.13
3/25/02,1601.2097,1008.43,35.06
3/26/02,1610.8125,1011.73,35.26
3/27/02,1619.4517,1012.5,35.52
3/28/02,1623.4288,1010.21,35.71
4/1/02,1622.2262,1009.65,35.93
4/2/02,1608.3915,1013.62,36.26
4/3/02,1592.597,1017.18,35.98
4/4/02,1593.9612,1017.28,35.59
4/5/02,1588.8751,1020.26,35.36
4/8/02,1592.8829,1019.31,35.32
4/9/02,1582.3641,1020.57,35.38
4/10/02,1600.3593,1020.47,35.42
4/11/02,1562.5229,1021.04,35.12
4/12/02,1572.8889,1022.86,34.72
4/15/02,1560.9218,1025.27,34.94
4/16/02,1597.4761,1024.27,34.99
4/17/02,1594.3219,1023.4,35.48
4/18/02,1592.0778,1024.46,35.6
4/19/02,1593.0717,1025.24,35.66
4/22/02,1568.5209,1026.15,35.77
4/23/02,1558.7939,1025.9301,35.87
4/24/02,1547.7405,1029.42,35.8
4/25/02,1545.3972,1029.6899,35.69
4/26/02,1524.0756,1030.85,35.72
4/29/02,1508.7516,1029.42,35.86
4/30/02,1525.0038,1029.8,35.93
5/1/02,1538.6462,1030.46,35.56
5/2/02,1536.1566,1029.03,35.44
5/3/02,1520.4375,1031.42,35.56
5/6/02,1491.0509,1031.4399,35.3
5/7/02,1486.5707,1031.86,35.48
5/8/02,1542.5325,1026.33,35.83
5/9/02,1520.3915,1028.16,35.88
5/10/02,1494.8724,1031.03,35.98
5/13/02,1522.8005,1027.63,36.04
5/14/02,1555.0433,1024.38,36.27
5/15/02,1546.7316,1025.96,35.92
5/16/02,1556.9299,1029.29,36
5/17/02,1569.1702,1026.76,35.99
5/20/02,1548.311,1029.66,36.07
5/21/02,1531.316,1032.08,35.83
5/22/02,1540.1165,1034.22,35.96
5/23/02,1555.8179,1032.74,35.98
5/24/02,1537.0233,1033.26,35.88
5/27/02,1537.0233,1033.26,35.89
5/28/02,1523.8926,1034.29,35.85
5/29/02,1514.3298,1037.1899,36.05
5/30/02,1510.2506,1038.9399,35.67
5/31/02,1513.7686,1038.55,36.06
6/3/02,1476.2584,1039.0699,36.05
6/4/02,1476.2839,1040.34,36.3
6/5/02,1489.8781,1038.9,36.09
6/6/02,1460.5034,1040.59,36.11
6/7/02,1458.2058,1038.0601,36.09
6/10/02,1462.7797,1039.12,35.75
6/11/02,1438.4739,1041.75,35.59
6/12/02,1448.1611,1043.12,35.63
6/13/02,1433.0132,1044.78,35.93
6/14/02,1429.7798,1049.22,36.17
6/17/02,1470.839,1047.61,36.27
6/18/02,1472.2485,1047.72,36.06
6/19/02,1447.9789,1052.55,36
6/20/02,1428.5516,1048.41,35.95
6/21/02,1404.2065,1050.8199,35.97
6/24/02,1409.3002,1047.78,36.29
6/25/02,1385.7655,1048.2,36.19
6/26/02,1382.7828,1052.35,36.33
6/27/02,1407.1083,1047.97,36.35
6/28/02,1405.9435,1047.53,36.55
7/1/02,1375.8789,1048.1899,36.69
7/2/02,1346.9618,1051.03,36.43
7/3/02,1355.3966,1051.1,36.5
7/4/02,1355.3966,1051.1,36.49
7/5/02,1405.1956,1046.41,36.64
