,RP00_Male_qx,RP00_Male_LE,RP00_Female_qx,RP00_Female_LE
15,0.000269,64.6926 ,0.000170 ,67.8263 
16,0.000284,63.7109 ,0.000177 ,66.8382 
17,0.000301,62.7288 ,0.000184 ,65.8500 
18,0.000316,61.7475 ,0.000188 ,64.8620 
19,0.000331,60.7669 ,0.000190 ,63.8741 
20,0.000345,59.7868 ,0.000191 ,62.8861 
21,0.000357,58.8073 ,0.000192 ,61.8980 
22,0.000366,57.8281 ,0.000194 ,60.9098 
23,0.000373,56.8490 ,0.000197 ,59.9215 
24,0.000376,55.8700 ,0.000201 ,58.9332 
25,0.000376,54.8909 ,0.000207 ,57.9450 
26,0.000378,53.9113 ,0.000214 ,56.9568 
27,0.000382,52.9315 ,0.000223 ,55.9689 
28,0.000393,51.9515 ,0.000235 ,54.9813 
29,0.000412,50.9717 ,0.000248 ,53.9941 
30,0.000444,49.9925 ,0.000264 ,53.0073 
31,0.000499,49.0145 ,0.000307 ,52.0212 
32,0.000562,48.0387 ,0.000350 ,51.0370 
33,0.000631,47.0654 ,0.000394 ,50.0547 
34,0.000702,46.0948 ,0.000435 ,49.0742 
35,0.000773,45.1268 ,0.000475 ,48.0953 
36,0.000841,44.1612 ,0.000514 ,47.1179 
37,0.000904,43.1980 ,0.000554 ,46.1419 
38,0.000964,42.2366 ,0.000598 ,45.1671 
39,0.001021,41.2768 ,0.000648 ,44.1939 
40,0.001079,40.3184 ,0.000706 ,43.2222 
41,0.001142,39.3614 ,0.000774 ,42.2523 
42,0.001215,38.4058 ,0.000852 ,41.2846 
43,0.001299,37.4518 ,0.000937 ,40.3194 
44,0.001397,36.4998 ,0.001029 ,39.3567 
45,0.001508,35.5501 ,0.001124 ,38.3966 
46,0.001616,34.6030 ,0.001223 ,37.4392 
47,0.001734,33.6581 ,0.001326 ,36.4844 
48,0.00186,32.7157 ,0.001434 ,35.5322 
49,0.001995,31.7756 ,0.001550 ,34.5824 
50,0.002138,30.8381 ,0.001676 ,33.6352 
51,0.002449,29.9030 ,0.001852 ,32.6908 
52,0.002667,28.9751 ,0.002018 ,31.7505 
53,0.002916,28.0511 ,0.002207 ,30.8136 
54,0.003196,27.1315 ,0.002424 ,29.8805 
55,0.003624,26.2168 ,0.002717 ,28.9518 
56,0.0042,25.3102 ,0.003090 ,28.0292 
57,0.004693,24.4146 ,0.003478 ,27.1144 
58,0.005273,23.5272 ,0.003923 ,26.2072 
59,0.005945,22.6491 ,0.004441 ,25.3082 
60,0.006747,21.7813 ,0.005055 ,24.4187 
61,0.007676,20.9255 ,0.005814 ,23.5400 
62,0.008757,20.0832 ,0.006657 ,22.6745 
63,0.010012,19.2559 ,0.007648 ,21.8228 
64,0.01128,18.4451 ,0.008619 ,20.9869 
65,0.012737,17.6494 ,0.009706 ,20.1646 
66,0.014409,16.8701 ,0.010954 ,19.3569 
67,0.016075,16.1088 ,0.012163 ,18.5653 
68,0.017871,15.3631 ,0.013445 ,17.7872 
69,0.019802,14.6328 ,0.014860 ,17.0223 
70,0.022206,13.9175 ,0.016742 ,16.2709 
71,0.02457,13.2213 ,0.018579 ,15.5387 
72,0.027281,12.5407 ,0.020665 ,14.8226 
73,0.030387,11.8772 ,0.022970 ,14.1239 
74,0.0339,11.2324 ,0.025458 ,13.4432 
75,0.037834,10.6076 ,0.028106 ,12.7803 
76,0.042169,10.0034 ,0.030966 ,12.1342 
77,0.046906,9.4199 ,0.034105 ,11.5046 
78,0.052123,8.8569 ,0.037595 ,10.8917 
79,0.057927,8.3141 ,0.041506 ,10.2961 
80,0.064368,7.7920 ,0.045879 ,9.7185 
81,0.072041,7.2908 ,0.050780 ,9.1597 
82,0.080486,6.8148 ,0.056294 ,8.6208 
83,0.089718,6.3639 ,0.062506 ,8.1027 
84,0.099779,5.9377 ,0.069517 ,7.6068 
85,0.110757,5.5358 ,0.077446 ,7.1346 
86,0.122797,5.1578 ,0.086376 ,6.6881 
87,0.136043,4.8041 ,0.096337 ,6.2692 
88,0.15059,4.4752 ,0.107303 ,5.8798 
89,0.16642,4.1726 ,0.119154 ,5.5215 
90,0.183408,3.8975 ,0.131682 ,5.1951 
91,0.199769,3.6512 ,0.144604 ,4.9008 
92,0.216605,3.4275 ,0.157618 ,4.6377 
93,0.233662,3.2254 ,0.170433 ,4.4041 
94,0.250693,3.0437 ,0.182799 ,4.1976 
95,0.267491,2.8808 ,0.194509 ,4.0154 
96,0.283905,2.7350 ,0.205379 ,3.8543 
97,0.299852,2.6046 ,0.215240 ,3.7104 
98,0.315296,2.4880 ,0.223947 ,3.5796 
99,0.330207,2.3843 ,0.231387 ,3.4562 
100,0.344556,2.2927 ,0.237467 ,3.3336 
101,0.358628,2.2132 ,0.244834 ,3.2031 
102,0.371685,2.1479 ,0.254498 ,3.0660 
103,0.38304,2.0981 ,0.266044 ,2.9277 
104,0.392003,2.0644 ,0.279055 ,2.7926 
105,0.397886,2.0462 ,0.293116 ,2.6639 
106,0.4,2.0405 ,0.307811 ,2.5439 
107,0.4,2.0397 ,0.322725 ,2.4342 
108,0.4,2.0384 ,0.337441 ,2.3360 
109,0.4,2.0362 ,0.351544 ,2.2499 
110,0.4,2.0326 ,0.364617 ,2.1759 
111,0.4,2.0266 ,0.376246 ,2.1138 
112,0.4,2.0165 ,0.386015 ,2.0620 
113,0.4,1.9997 ,0.393507 ,2.0179 
114,0.4,1.9717 ,0.398308 ,1.9757 
115,0.4,1.9250 ,0.400000 ,1.9250 
116,0.4,1.8473 ,0.400000 ,1.8473 
117,0.4,1.7177 ,0.400000 ,1.7177 
118,0.4,1.5017 ,0.400000 ,1.5017 
119,0.4,1.1417 ,0.400000 ,1.1417 
120,1,0.5417 ,1.000000 ,0.5417 
