Date,T100ECMU Index,SPGSCIP Index,LBUSTRUU Index,SPXT Index
1/15/02,37.05,323.0118,1023.3,1617.1813
1/17/02,36.54,316.9902,1018.3,1607.0198
1/18/02,36.14,315.946,1020.38,1591.0778
1/21/02,36.07,315.946,1020.38,1591.0778
1/22/02,36.08,315.6881,1020.41,1579.4083
1/23/02,36.11,319.6502,1016.65,1591.9413
1/24/02,36.09,321.4014,1015.61,1597.5488
1/25/02,36.04,323.3435,1014.99,1599.1434
1/28/02,35.81,321.6736,1015.68,1598.8612
1/29/02,35.56,318.4725,1019.68,1553.2333
1/30/02,35.5,314.1833,1019.79,1571.6919
1/31/02,35.55,318.7987,1017.44,1595.3525
2/1/02,35.69,326.8901,1019.44,1584.0614
2/4/02,35.59,323.9336,1022.7,1544.8918
2/5/02,35.85,323.3534,1021.57,1538.7007
2/6/02,35.69,320.6579,1020.56,1529.6747
2/7/02,35.61,319.7704,1019.87,1525.2629
2/8/02,35.69,325.2763,1022.83,1547.9406
2/11/02,35.39,334.0434,1022.51,1570.2118
2/12/02,35.6,330.2116,1020.41,1563.9489
2/13/02,35.82,332.6077,1019.8,1580.0289
2/14/02,35.74,331.1737,1021.44,1577.2885
2/15/02,35.56,331.4712,1025.13,1559.9755
2/18/02,35.41,331.4712,1025.13,1559.9755
2/19/02,35.16,327.9873,1024.6801,1530.5781
2/20/02,35.27,323.1557,1024.73,1551.3666
2/21/02,35.21,327.484,1025.45,1527.3397
2/22/02,34.99,327.7613,1027.1,1539.908
2/25/02,35.1,320.9789,1026.62,1567.5936
2/26/02,35.22,327.8128,1024.42,1567.6544
2/27/02,35.49,329.3298,1028.61,1569.0054
2/28/02,35.43,332.2774,1027.3,1564.5862
3/1/02,35.59,339.3797,1022.98,1600.0234
3/4/02,35.71,340.8196,1022.45,1631.2484
3/5/02,35.51,346.8752,1022.86,1620.3667
3/6/02,35.48,348.1858,1021.94,1644.1998
3/7/02,35.46,356.2096,1015.42,1636.8624
3/8/02,35.4,357.3628,1011.46,1646.4373
3/11/02,35.17,364.3709,1011.52,1652.0413
3/12/02,35.06,363.0757,1012.22,1648.2839
3/13/02,35.09,362.0753,1013.99,1632.4556
3/14/02,35.14,365.1363,1008.1,1631.0001
3/15/02,35.15,366.1781,1009.41,1649.5614
3/18/02,35.09,372.465,1011.52,1648.7283
3/19/02,35.2,371.2605,1011.15,1655.4431
3/20/02,35.34,367.8603,1008.42,1629.428
3/21/02,35.24,374.4714,1009.05,1631.9304
3/22/02,35.13,370.6246,1008.46,1625.0184
3/25/02,35.06,368.3982,1008.43,1601.2097
3/26/02,35.26,371.0971,1011.73,1610.8125
3/27/02,35.52,374.7583,1012.5,1619.4517
3/28/02,35.71,376.548,1010.21,1623.4288
4/1/02,35.93,382.8577,1009.65,1622.2262
4/2/02,36.26,393.1305,1013.62,1608.3915
4/3/02,35.98,388.1316,1017.18,1592.597
4/4/02,35.59,379.289,1017.28,1593.9612
4/5/02,35.36,373.1767,1020.26,1588.8751
4/8/02,35.32,376.4821,1019.31,1592.8829
4/9/02,35.38,370.0942,1020.57,1582.3641
4/10/02,35.42,370.3617,1020.47,1600.3593
4/11/02,35.12,359.7008,1021.04,1562.5229
4/12/02,34.72,347.2354,1022.86,1572.8889
4/15/02,34.94,358.991,1025.27,1560.9218
4/16/02,34.99,361.0864,1024.27,1597.4761
4/17/02,35.48,370.5628,1023.4,1594.3219
4/18/02,35.6,371.7288,1024.46,1592.0778
4/19/02,35.66,372.6087,1025.24,1593.0717
4/22/02,35.77,372.7988,1026.15,1568.5209
4/23/02,35.87,374.0713,1025.9301,1558.7939
4/24/02,35.8,369.7454,1029.42,1547.7405
4/25/02,35.69,370.8298,1029.6899,1545.3972
4/26/02,35.72,374.1686,1030.85,1524.0756
4/29/02,35.86,378.9346,1029.42,1508.7516
4/30/02,35.93,380.1119,1029.8,1525.0038
5/1/02,35.56,374.8441,1030.46,1538.6462
5/2/02,35.44,369.3859,1029.03,1536.1566
5/3/02,35.56,372.3742,1031.42,1520.4375
5/6/02,35.3,368.664,1031.4399,1491.0509
5/7/02,35.48,371.9975,1031.86,1486.5707
5/8/02,35.83,379.4003,1026.33,1542.5325
5/9/02,35.88,378.1772,1028.16,1520.3915
5/10/02,35.98,382.253,1031.03,1494.8724
5/13/02,36.04,386.1795,1027.63,1522.8005
5/14/02,36.27,393.0717,1024.38,1555.0433
5/15/02,35.92,382.6988,1025.96,1546.7316
5/16/02,36,381.018,1029.29,1556.9299
5/17/02,35.99,380.6219,1026.76,1569.1702
5/20/02,36.07,380.1324,1029.66,1548.311
5/21/02,35.83,372.2303,1032.08,1531.316
5/22/02,35.96,372.6349,1034.22,1540.1165
5/23/02,35.98,371.5627,1032.74,1555.8179
5/24/02,35.88,368.7953,1033.26,1537.0233
5/27/02,35.89,368.7953,1033.26,1537.0233
5/28/02,35.85,363.9596,1034.29,1523.8926
5/29/02,36.05,369.1774,1037.1899,1514.3298
5/30/02,35.67,357.5448,1038.9399,1510.2506
5/31/02,36.06,363.027,1038.55,1513.7686
6/3/02,36.05,362.4548,1039.0699,1476.2584
6/4/02,36.3,364.306,1040.34,1476.2839
6/5/02,36.09,361.4712,1038.9,1489.8781
6/6/02,36.11,360.3512,1040.59,1460.5034
6/7/02,36.09,358.7732,1038.0601,1458.2058
6/10/02,35.75,354.4715,1039.12,1462.7797
6/11/02,35.59,352.7075,1041.75,1438.4739
6/12/02,35.63,356.3448,1043.12,1448.1611
6/13/02,35.93,366.695,1044.78,1433.0132
6/14/02,36.17,369.3351,1049.22,1429.7798
6/17/02,36.27,370.9759,1047.61,1470.839
6/18/02,36.06,365.9358,1047.72,1472.2485
6/19/02,36,365.1519,1052.55,1447.9789
6/20/02,35.95,366.9202,1048.41,1428.5516
6/21/02,35.97,364.7929,1050.8199,1404.2065
6/24/02,36.29,372.867,1047.78,1409.3002
6/25/02,36.19,372.4312,1048.2,1385.7655
6/26/02,36.33,373.0451,1052.35,1382.7828
6/27/02,36.35,374.5914,1047.97,1407.1083
6/28/02,36.55,374.933,1047.53,1405.9435
7/1/02,36.69,376.8448,1048.1899,1375.8789
7/2/02,36.43,376.3814,1051.03,1346.9618
7/3/02,36.5,375.8883,1051.1,1355.3966
7/4/02,36.49,375.8883,1051.1,1355.3966
7/5/02,36.64,376.8167,1046.41,1405.1956
7/8/02,36.41,367.8742,1049.2,1388.4392
7/9/02,36.65,369.7184,1053.2,1354.2336
7/10/02,36.72,374.7272,1057.62,1308.2985
7/11/02,36.83,375.194,1057.8101,1318.1838
7/12/02,37.04,378.5837,1058.78,1309.6801
7/15/02,37.28,376.3398,1057.26,1304.7625
7/16/02,37.55,383.2467,1053.17,1280.7838
7/17/02,37.37,383.7829,1055.7,1287.9779
7/18/02,37.57,383.0757,1058.17,1253.2085
7/19/02,37.64,383.7757,1059.89,1205.1593
7/22/02,37.75,376.7432,1063.04,1165.4792
7/23/02,37.01,370.8632,1063.89,1133.9878
7/24/02,37.12,376.2343,1062.9,1199.0078
7/25/02,36.81,374.0747,1063.4399,1192.2823
7/26/02,36.37,371.7926,1062.21,1212.4089
7/29/02,35.92,369.8972,1056.14,1278.1025
7/30/02,36.47,376.8568,1055.4399,1283.6199
7/31/02,36.79,376.519,1060.17,1296.344
8/1/02,36.84,370.7477,1063.27,1258.2179
8/2/02,36.86,373.2713,1068.26,1229.1932
8/5/02,36.74,368.6736,1068.13,1187.0718
8/6/02,36.91,373.7558,1063.34,1222.5875
8/7/02,37,368.8701,1066.97,1247.2791
8/8/02,36.88,370.157,1064.27,1288.1234
8/9/02,37.07,372.6781,1068.85,1292.9424
8/12/02,37.59,381.4835,1070.23,1286.0891
8/13/02,37.87,383.2939,1074.26,1258.3615
8/14/02,38.01,384.8475,1075.4399,1309.0402
8/15/02,38.37,393.9098,1071.26,1324.3159
8/16/02,38.14,394.2004,1066.17,1322.3636
8/19/02,37.76,396.1699,1067.66,1353.6276
8/20/02,37.43,393.5454,1074.05,1334.7037
8/21/02,37.67,397.9974,1073.89,1351.8198
8/22/02,37.5,398.5588,1070.91,1370.8481
8/23/02,37.42,397.0121,1073.88,1339.7854
8/26/02,37.56,402.2859,1075.04,1349.8773
