Ticker,T100ECMU Index,SPGSCIP Index,LBUSTRUU Index,SPTRENRS Index,SPTRFINL Index,SPTRINFT Index,SPTRHLTH Index,SPTRCOND Index,SPTRINDU Index,SPTRUTIL Index,SPTRCONS Index,SPTRMATR Index,SPTRTELS Index,SPXT Index
1/15/02,37.05,323.0118,1023.3,250.38,412.77,379.5771,423.04,259.63,284.74,197.73,250.28,147.49,194.09,1617.1813
1/17/02,36.54,316.9902,1018.3,244.98,411.67,378.964,421.66,257.4,282.05,193.93,251.19,144.6,191.28,1607.0198
1/18/02,36.14,315.946,1020.38,243.32,410.42,365.2993,418.8,255.89,282.69,193.77,251.54,144.32,188.48,1591.0778
1/21/02,36.07,315.946,1020.38,243.32,410.42,365.2993,418.8,255.89,282.69,193.77,251.54,144.32,188.48,1591.0778
1/22/02,36.08,315.6881,1020.41,241.79,409.78,350.6541,425.1,255.6,282.29,190.69,252.48,145.1,184.25,1579.4083
1/23/02,36.11,319.6502,1016.65,248.21,409.79,356.6439,428.19,259.18,280.43,191.66,251.31,147.56,187.6,1591.9413
1/24/02,36.09,321.4014,1015.61,250.42,411.63,362.5992,422.61,258.83,282.76,192.43,249.94,151.23,187.87,1597.5488
1/25/02,36.04,323.3435,1014.99,252.25,412.95,362.3628,420.44,256.59,286.5,192.04,251.52,154.66,185.91,1599.1434
1/28/02,35.81,321.6736,1015.68,250.67,410.05,364.2908,418.1,259.32,285.7,190.65,252.1,154.34,187.18,1598.8612
1/29/02,35.56,318.4725,1019.68,244.38,391.58,352.4778,413.33,254.38,273.65,184.77,247.86,152.21,181.81,1553.2333
1/30/02,35.5,314.1833,1019.79,247.19,396.16,359.2583,417.64,258.74,277.06,184.62,250.43,153.49,179.76,1571.6919
1/31/02,35.55,318.7987,1017.44,250.95,403.35,364.6856,422.3,261.68,281.57,187.93,254.03,157.41,182.65,1595.3525
2/1/02,35.69,326.8901,1019.44,251.97,398.79,358.7813,423.06,258.8,280.26,189.22,254.21,156.46,179.82,1584.0614
2/4/02,35.59,323.9336,1022.7,247.25,385.56,349.5516,414.77,253.52,269.24,185.64,254.22,154.76,171.56,1544.8918
2/5/02,35.85,323.3534,1021.57,246.03,383.05,346.1135,418.32,252.95,268.62,182.13,256.04,153.33,167.1,1538.7007
2/6/02,35.69,320.6579,1020.56,248.91,379.35,343.2576,413.32,252.07,271.6,179.59,254.16,153.3,162.52,1529.6747
2/7/02,35.61,319.7704,1019.87,245.47,381.47,334.6213,410.34,253.46,272.79,180.96,253.56,153.39,167.12,1525.2629
2/8/02,35.69,325.2763,1022.83,246.11,391.84,339.3964,415.23,258.51,275.49,181.66,253.22,156.31,171.83,1547.9406
2/11/02,35.39,334.0434,1022.51,249.26,395.3,348.86,419.06,263.42,280.34,183.61,254.65,160.95,170.76,1570.2118
2/12/02,35.6,330.2116,1020.41,247.67,392.88,343.8689,423.12,262.25,278.15,185.06,255.64,159.84,169.76,1563.9489
2/13/02,35.82,332.6077,1019.8,249.31,398.94,349.8501,424.72,265.53,280.47,186.37,256.89,161.12,169.99,1580.0289
2/14/02,35.74,331.1737,1021.44,250.78,399.77,347.0929,422.35,266.08,279.7,185.6,258.05,160.26,168.62,1577.2885
2/15/02,35.56,331.4712,1025.13,251.42,392.35,336.0497,423.36,262.38,278.03,182.93,259.86,162.06,166.76,1559.9755
2/18/02,35.41,331.4712,1025.13,251.42,392.35,336.0497,423.36,262.38,278.03,182.93,259.86,162.06,166.76,1559.9755
2/19/02,35.16,327.9873,1024.6801,248.97,382.3,325.5004,417.64,257.79,274.12,180.67,257.62,159.02,164.22,1530.5781
2/20/02,35.27,323.1557,1024.73,249.02,387.98,328.3998,424.63,261.74,279.84,180.05,261.07,161.14,168.02,1551.3666
2/21/02,35.21,327.484,1025.45,250.98,382.09,312.3418,421.39,258.98,279.14,179.76,258.48,162.31,162.79,1527.3397
2/22/02,34.99,327.7613,1027.1,258.7,381.68,312.9994,424.78,260.42,281.46,181.79,263.45,163.94,165.57,1539.908
2/25/02,35.1,320.9789,1026.62,261.74,391.02,324.3112,423.35,264.8,288.35,181.37,266.25,164.58,170.79,1567.5936
2/26/02,35.22,327.8128,1024.42,260.42,392.54,322.2316,423.1,266.24,288.1,183.82,265.51,165.34,170.47,1567.6544
2/27/02,35.49,329.3298,1028.61,260.94,395.85,318.2409,425.21,265.6,290.2,184.93,264.27,165.85,171.09,1569.0054
2/28/02,35.43,332.2774,1027.3,262.03,397.49,313.564,423.97,265,288.9,183.78,264.32,165.81,170.91,1564.5862
3/1/02,35.59,339.3797,1022.98,265.97,402.46,331.2397,430.08,269.74,295.79,187.16,268.17,168.07,174.14,1600.0234
3/4/02,35.71,340.8196,1022.45,269.74,415.71,343.1266,430.93,273.85,304.66,191.13,266.48,173.15,174.57,1631.2484
3/5/02,35.51,346.8752,1022.86,269.02,416,345.9022,423.49,268.3,301.22,195.15,263.79,168.37,173.09,1620.3667
3/6/02,35.48,348.1858,1021.94,274.17,422.68,348.6599,429.86,271.32,308.44,199.31,264.74,171.33,177.94,1644.1998
3/7/02,35.46,356.2096,1015.42,274.17,419.63,346.9531,429.15,271.76,305.21,200.77,262.7,170.4,176.08,1636.8624
3/8/02,35.4,357.3628,1011.46,272.72,421.49,357.7371,426.57,274.09,305.42,200.19,263.34,168.84,175.85,1646.4373
3/11/02,35.17,364.3709,1011.52,276.7,423.84,356.3752,427.84,274.48,308.4,201.22,262.88,169.59,176.71,1652.0413
3/12/02,35.06,363.0757,1012.22,279.47,424.92,349.2301,429.55,273.79,307.01,199.38,265.22,170.22,175.73,1648.2839
3/13/02,35.09,362.0753,1013.99,276.35,421.43,340.1824,432.73,272.54,301.67,197.61,264.23,167.74,174.07,1632.4556
3/14/02,35.14,365.1363,1008.1,276.06,422.17,336.7324,432.88,272.59,302.18,197.71,265.14,169.75,172.75,1631.0001
3/15/02,35.15,366.1781,1009.41,278.7,430.35,339.1225,437.82,277.46,302.57,198.28,268.79,171.61,173.54,1649.5614
3/18/02,35.09,372.465,1011.52,280.38,427.97,339.4154,435.81,278.44,302.28,200.96,268.09,172.07,173.56,1648.7283
3/19/02,35.2,371.2605,1011.15,281.65,430.16,341.0963,435.98,279.06,303.76,201.82,270.98,173.7,172.75,1655.4431
3/20/02,35.34,367.8603,1008.42,278.82,422.99,329.9677,426.05,277.24,299.01,201.87,270,173.14,171.63,1629.428
3/21/02,35.24,374.4714,1009.05,279.14,422.97,337.7609,428.25,273.66,293.48,207.18,271.88,170.24,171.01,1631.9304
3/22/02,35.13,370.6246,1008.46,275.49,423.54,333.1712,427.85,272.41,293.86,206.11,273.43,168.78,167.93,1625.0184
3/25/02,35.06,368.3982,1008.43,272.68,416.67,325.6278,423.2,268.33,287.92,205.27,271.69,166.99,166.29,1601.2097
3/26/02,35.26,371.0971,1011.73,275.95,420.91,328.0331,423.32,268.16,290.68,203.4,274.22,169.73,166.61,1610.8125
3/27/02,35.52,374.7583,1012.5,279.87,425.34,327.4472,424.09,270.2,292.8,206.17,273.96,172.79,165.84,1619.4517
3/28/02,35.71,376.548,1010.21,279.49,423.91,333.0141,424.83,269.92,293.34,206.15,273.72,171.55,167.31,1623.4288
4/1/02,35.93,382.8577,1009.65,280.33,421.54,338.3148,425.97,266.31,292.02,205.65,273.35,170.72,166.36,1622.2262
4/2/02,36.26,393.1305,1013.62,283.12,422.86,324.9941,422.97,263.36,290.26,207.49,273.33,170.07,165.32,1608.3915
4/3/02,35.98,388.1316,1017.18,278.43,418.8,320.5779,421.08,261.05,286.25,205.63,271.15,167.43,165.64,1592.597
4/4/02,35.59,379.289,1017.28,273.42,421.38,322.0533,412.64,263.52,289.36,206.04,273.92,165.52,165.64,1593.9612
4/5/02,35.36,373.1767,1020.26,270.38,424,315.4709,408.65,265.87,289.94,205.05,273.44,167.88,164.07,1588.8751
4/8/02,35.32,376.4821,1019.31,273.93,425.57,314.3513,409.39,267.97,290.29,205.97,274.76,167.99,162.08,1592.8829
4/9/02,35.38,370.0942,1020.57,270.73,428.04,304.0768,408.61,268.89,289.61,204.15,275.97,167.99,155.6,1582.3641
4/10/02,35.42,370.3617,1020.47,273.54,429.41,307.7764,414.91,271.13,294.8,207.23,280.89,171.99,155.76,1600.3593
4/11/02,35.12,359.7008,1021.04,269.9,418.47,298.5171,409.69,265.86,282.08,203.58,278.24,170.16,147.81,1562.5229
4/12/02,34.72,347.2354,1022.86,261.79,423.23,303.3362,411.35,269.57,283.15,203.49,279.37,169.65,150.99,1572.8889
4/15/02,34.94,358.991,1025.27,266.18,417.49,302.4491,411.96,267.74,276.25,200.99,276.09,168.21,149.13,1560.9218
4/16/02,34.99,361.0864,1024.27,270.64,426.38,316.7293,416.61,270.92,282.05,204.1,279.07,171.49,160.8,1597.4761
4/17/02,35.48,370.5628,1023.4,272.51,428.41,317.1336,410.61,269.58,280.38,206.84,277.41,171.94,160.3,1594.3219
4/18/02,35.6,371.7288,1024.46,273.63,426.62,315.3364,417.46,268.72,279.04,207.9,276.42,170.02,157.11,1592.0778
4/19/02,35.66,372.6087,1025.24,274.67,426.77,315.3277,416.66,270.31,278.53,208.46,279.11,170.55,153.15,1593.0717
4/22/02,35.77,372.7988,1026.15,270.96,420.78,308.6725,411.5,266.38,273.4,208.36,279.93,166.01,145.11,1568.5209
4/23/02,35.87,374.0713,1025.9301,270.05,418.65,301.6718,405.88,266.92,273,210.21,280.48,164.27,145.82,1558.7939
4/24/02,35.8,369.7454,1029.42,264.5,416.64,296.2754,404.81,265.63,271.51,208.66,280,163.07,146.7,1547.7405
4/25/02,35.69,370.8298,1029.6899,266.81,412.67,298.203,406.61,265.8,268.69,203.45,279.08,162.24,148.14,1545.3972
4/26/02,35.72,374.1686,1030.85,264.4,410.75,287.3521,403.4,261.39,265.03,199.8,277.65,162.86,145.18,1524.0756
4/29/02,35.86,378.9346,1029.42,263.67,407.3,288.2836,397.12,257.63,259.99,199.49,277.46,160.01,138.84,1508.7516
4/30/02,35.93,380.1119,1029.8,265.29,412.6,291.7569,398.55,258.93,265.95,202.31,279.14,163.28,141.34,1525.0038
5/1/02,35.56,374.8441,1030.46,268.63,414.87,289.7866,404.35,263.13,267.82,201.58,283.32,164.01,146.6,1538.6462
5/2/02,35.44,369.3859,1029.03,270.91,419.58,281.0009,402.81,262.6,268.63,200.71,285.58,167.01,144.89,1536.1566
5/3/02,35.56,372.3742,1031.42,271.62,417.15,272.5051,398.52,259.43,268.22,200.62,283.53,167.77,141.57,1520.4375
5/6/02,35.3,368.664,1031.4399,262.74,407.97,265.2757,392.74,253.77,261.68,199.38,283.11,166.78,139.2,1491.0509
5/7/02,35.48,371.9975,1031.86,262.63,405.75,265.635,385.69,256.28,261.76,195.59,282.58,168.22,138.04,1486.5707
5/8/02,35.83,379.4003,1026.33,268.45,417.53,296.8771,396.3,261.56,272.78,197.22,282.62,170.01,144.14,1542.5325
5/9/02,35.88,378.1772,1028.16,265.68,413.5,286.7608,391.37,258.83,266.93,195.84,282.37,170.47,141.23,1520.3915
5/10/02,35.98,382.253,1031.03,264.73,407.48,276.1252,387.69,254.09,262.05,192.15,282.2,169.51,136.01,1494.8724
5/13/02,36.04,386.1795,1027.63,270.98,414.45,288.916,391.91,257.72,264.48,191.32,284.62,171.01,140.78,1522.8005
5/14/02,36.27,393.0717,1024.38,272.57,421.01,303.343,397.52,266.17,270.57,192.61,283.35,173.35,144.34,1555.0433
5/15/02,35.92,382.6988,1025.96,267.81,419.51,302.8376,390.49,266.69,269.96,189.79,281.6,173.79,145.17,1546.7316
5/16/02,36,381.018,1029.29,271.27,423.57,307.0899,387.19,268.34,272.52,185.35,283.29,172.98,149.44,1556.9299
5/17/02,35.99,380.6219,1026.76,270.92,425.86,309.324,396.63,270.56,277.43,182.92,283.55,173.78,147.79,1569.1702
5/20/02,36.07,380.1324,1029.66,267.83,418.23,301.2444,392.58,268.73,273.29,186.88,280.96,172.61,145.86,1548.311
5/21/02,35.83,372.2303,1032.08,267.19,415.46,292.9907,389.82,263.3,269.75,188.1,279.24,172.7,146.83,1531.316
5/22/02,35.96,372.6349,1034.22,271.22,415.49,296.412,392.47,262.44,270.16,193.08,282.17,173.48,147.79,1540.1165
5/23/02,35.98,371.5627,1032.74,273.7,419.52,299.161,397.08,263.6,275.61,194.74,282.3,175.88,151.72,1555.8179
5/24/02,35.88,368.7953,1033.26,270.48,416.53,291.3752,391.75,262.29,272.55,194.44,279.88,174.06,148.34,1537.0233
5/27/02,35.89,368.7953,1033.26,270.48,416.53,291.3752,391.75,262.29,272.55,194.44,279.88,174.06,148.34,1537.0233
5/28/02,35.85,363.9596,1034.29,268.27,411.98,288.7555,390.43,258.7,269.33,193.64,276.92,173.07,149.85,1523.8926
5/29/02,36.05,369.1774,1037.1899,269.26,412.07,282.3519,391.75,257.6,266.11,187.39,277.1,171.59,147.78,1514.3298
5/30/02,35.67,357.5448,1038.9399,264.4,410.42,284.7775,391.21,255.73,265.48,184.75,278.21,170.2,147.21,1510.2506
5/31/02,36.06,363.027,1038.55,267.25,411.91,280.5385,390.95,258.58,266.67,184.36,281.8,171.44,146.48,1513.7686
6/3/02,36.05,362.4548,1039.0699,262.14,402.99,270.5839,380.29,253.6,258.05,177.25,278.26,168.17,142.92,1476.2584
6/4/02,36.3,364.306,1040.34,261.97,400.35,276.5414,377.44,251.61,256.96,179.76,278.74,167.26,143.93,1476.2839
6/5/02,36.09,361.4712,1038.9,262.19,404.05,280.3142,380.55,254.7,259.93,177.51,282.43,169.26,143.81,1489.8781
6/6/02,36.11,360.3512,1040.59,260.13,396.85,273.8229,371.23,250.1,254.96,173.11,277.99,166.47,138.73,1460.5034
6/7/02,36.09,358.7732,1038.0601,262.33,397.22,266.4366,372.71,250.89,255.78,172.55,277.93,166.44,140.2,1458.2058
6/10/02,35.75,354.4715,1039.12,258.49,399.71,264.787,378.29,253.7,256.9,172.81,277.9,166.86,139.1,1462.7797
6/11/02,35.59,352.7075,1041.75,256.87,392.17,259.0707,364.96,251.45,253.83,171.83,277.11,164.73,135.58,1438.4739
6/12/02,35.63,356.3448,1043.12,259.43,393.98,265.9445,363.14,250.2,256.35,173.58,279,166.05,136.85,1448.1611
6/13/02,35.93,366.695,1044.78,258.84,385.52,261.4348,364.79,246.37,254.62,175.31,276.44,163.77,135.63,1433.0132
6/14/02,36.17,369.3351,1049.22,257.79,388.96,261.5091,365,244.68,252.79,173.76,274.8,162.96,132.35,1429.7798
6/17/02,36.27,370.9759,1047.61,264.6,405.99,270.4118,373.71,251.26,259.49,176.69,278.77,165.91,135.45,1470.839
6/18/02,36.06,365.9358,1047.72,263.7,407.58,267.6113,374.56,251.68,262.01,178.36,278.22,167.08,135.61,1472.2485
6/19/02,36,365.1519,1052.55,259.98,402.3,255.5894,371.51,249.6,258.67,176.6,277.58,166.1,128.76,1447.9789
6/20/02,35.95,366.9202,1048.41,261.52,395.4,248.7345,366.87,243.61,256.56,173.04,277.69,166.93,127.76,1428.5516
6/21/02,35.97,364.7929,1050.8199,259.69,391.32,242.2216,354.49,238.78,251.43,173.86,274.53,163.98,128.92,1404.2065
6/24/02,36.29,372.867,1047.78,261.77,391.31,247.9145,355.33,240.6,252.94,170.77,270.91,164.83,127.42,1409.3002
6/25/02,36.19,372.4312,1048.2,260.31,388.1,239.716,350.19,237.58,247.03,169.33,264.27,165.09,124.06,1385.7655
6/26/02,36.33,373.0451,1052.35,260.11,380.76,241.6645,355.9,234.84,248,167.61,265.95,163.77,122.23,1382.7828
6/27/02,36.35,374.5914,1047.97,263.64,390.04,247.3442,364.4,237.55,252.29,167.98,267.33,165.96,124.39,1407.1083
6/28/02,36.55,374.933,1047.53,266.63,392.36,246.4541,355.06,237.78,251.61,171.26,265.31,167.91,128.2,1405.9435
7/1/02,36.69,376.8448,1048.1899,265.25,386.12,235.093,343.48,231.17,247.31,167.89,267.72,167.34,123.63,1375.8789
7/2/02,36.43,376.3814,1051.03,260.5,379.95,227.3678,334.84,226.07,242.83,164.17,265.31,162.98,120.17,1346.9618
7/3/02,36.5,375.8883,1051.1,260.32,376.48,236.3783,335.38,231.05,242.32,163.15,263.16,162.42,123.19,1355.3966
7/4/02,36.49,375.8883,1051.1,260.32,376.48,236.3783,335.38,231.05,242.32,163.15,263.16,162.42,123.19,1355.3966
7/5/02,36.64,376.8167,1046.41,266.51,390.29,251.5533,347.94,239.18,253.05,164.91,267.09,166.88,127.14,1405.1956
7/8/02,36.41,367.8742,1049.2,264.46,388.85,241.714,343.42,235.69,249.53,163.41,268.43,166.22,127.57,1388.4392
7/9/02,36.65,369.7184,1053.2,260.91,378.31,238.1794,327.58,230.6,243.9,158.39,262.19,164.58,124.61,1354.2336
7/10/02,36.72,374.7272,1057.62,249.58,366.26,231.853,311.42,222.49,235.49,149.68,256.71,159.86,122.47,1308.2985
7/11/02,36.83,375.194,1057.8101,243.6,369.77,239.5659,317.58,222.52,236.16,154.57,252.18,157.52,126.18,1318.1838
7/12/02,37.04,378.5837,1058.78,240.07,366.63,240.7254,321.36,218.91,237.2,149.42,246.82,156.55,123.51,1309.6801
7/15/02,37.28,376.3398,1057.26,233.98,365.15,245.994,315.7,218.79,234.92,151.57,245.67,152.8,123.55,1304.7625
7/16/02,37.55,383.2467,1053.17,229.98,359.32,242.9066,313.99,210.45,229.95,147.08,239.69,150.17,123.4,1280.7838
7/17/02,37.37,383.7829,1055.7,232.82,356.43,246.3205,321.13,209.39,233.21,145.44,242.08,151.04,121.85,1287.9779
7/18/02,37.57,383.0757,1058.17,230.02,344.4,241.094,305.97,205.86,226.98,140.95,236.12,148.74,119.28,1253.2085
7/19/02,37.64,383.7757,1059.89,215.81,336.83,233.4432,293.98,197.89,218.08,133.59,223.72,142.11,114.02,1205.1593
7/22/02,37.75,376.7432,1063.04,201.94,324.75,223.2995,287.23,192.81,211.65,130.85,226.14,136,102.84,1165.4792
7/23/02,37.01,370.8632,1063.89,200.79,307.33,213.2004,286.11,189.84,207.97,119.59,228.23,134.17,97.39,1133.9878
